origFID	bottom	left	right	top	value	scalerank	admin	adm0_a3	region	area_sq_m	zoom_start
1	-90	-180	-151.75	-52.55	995	0			Antarctica	41314614924007.1	10
2	-52.55	-180	-151.75	-30.36	995	0			High Seas	10534500870832.9	10
4	-30.36	-176.5	-151.75	-21.74	995	0			Oceania	2946307339406.69	10
6	-17.08	-180	-170.75	-5.78	995	0			Oceania	1323622439584.77	10
7	-21.74	-170.75	-151.75	-5.78	995	0			Oceania	3883614319740.12	10
9	-90	-151.75	-119.91	-57.82	995	0			Antarctica	42908133452267.4	10
10	-57.82	-151.75	-119.91	-32.38	995	0			High Seas	14589782352894.6	10
11	-90	-119.91	-83.93	-58.71	995	0			Antarctica	47753937508779.1	10
12	-58.71	-119.91	-83.93	-32.38	995	0			High Seas	17245352331756.7	10
15	-32.38	-149.47	-115.91	-5.78	995	0			Oceania	11838641844502.2	10
16	-32.38	-115.91	-83.93	-5.78	996	0			High Seas	11281626454259	10
17	-5.78	-180	-111.9	9.9	995	0			Oceania	13283525191968.8	10
18	-5.78	-111.9	-90.41	9.9	995	0			High Seas	4192070527927.99	10
19	-5.78	-90.41	-84.63	9.62	995	0			High Seas	1106542367349.25	10
30	9.98	-180	-90.8	14.09	995	0			High Seas	4643436984444.12	10
84	14.09	-180	-101.64	17.96	995	0			High Seas	3907140782307.76	10
197	17.96	-155.63	-104.35	19.28	995	0			High Seas	889080640625.25	10
380	19.45	-180	-159.59	28.65	995	0			High Seas	2552318479136.35	10
458	19.45	-149.91	-111.67	28.65	995	0			High Seas	4780638670893.16	10
959	28.65	-180	-115.93	31.57	995	0			High Seas	2679512330268.68	10
1737	31.57	-180	-119.23	34.21	995	0			High Seas	2367886949770.27	10
3012	-90	-83.93	-53.83	-61.49	995	1	Antarctica	ATA	Antarctica	37853722158350.5	10
3013	-61.49	-83.93	-53.83	-54.81	995	0			High Seas	4739425252943.06	10
3024	-51.83	-83.93	-73.76	-42.46	995	0			High Seas	1742541589100.02	10
3038	-51.83	-61.27	-53.83	-41.48	996	0			High Seas	1396378174506.35	10
3284	-33.45	-83.93	-71.69	-23.62	995	0			High Seas	1700198068923.66	10
3494	-90	-53.83	-35.33	-56.07	995	0			Antarctica	25667059458037.5	10
3495	-90	-35.33	-15.41	-56.07	995	0			Antarctica	27639153647768	10
3496	-56.07	-53.83	-51.09	-32.17	995	0			High Seas	1155868653614.64	10
3497	-56.07	-51.09	-15.41	-32.17	995	0			High Seas	15036188756140.4	10
3750	-28.49	-48.38	-15.41	-25.45	996	0			High Seas	1394074683191.86	10
4620	-23.62	-40.14	-15.41	-19.87	996	0			High Seas	1237058424407.24	10
5730	-3.11	-73.05	-65.02	4.64	995	1	Brazil	BRA	South America	771013170629.04	10
6233	21.82	-74.12	-66.14	33.38	995	0			High Seas	1294054941556.73	10
6292	11.54	-59.47	-48.02	18.25	996	0			High Seas	986543396078.1	10
6318	18.25	-64.58	-54.6	34.21	995	0			High Seas	2208673291649.09	10
6319	18.25	-54.6	-48.02	34.21	996	0			High Seas	1458336392458.04	10
6577	-19.87	-34.87	-15.41	-8.06	996	0			High Seas	2941003719233.02	10
6782	4.2	-46.76	-35.21	14.92	995	0			High Seas	1559691490163.74	10
6783	-2.48	-35.21	-25.6	14.92	995	0			High Seas	2092703869278.94	10
6784	-2.48	-25.6	-17.51	14.92	995	0			High Seas	1762998433188.75	10
6789	14.92	-41.9	-23.51	28.1	995	0			High Seas	3238346318142.64	10
6790	14.92	-23.51	-18.01	28.1	996	0			High Seas	968294194922.27	10
6805	28.1	-48.02	-17.77	34.21	995	0			High Seas	2678218513098.72	10
6838	34.21	-180	-171.68	52.2	995	0			High Seas	2573071616459.73	10
6839	34.21	-171.68	-157.29	52.2	995	0			High Seas	4452102732053	10
6840	52.2	-180	-164.1	61.2	995	0			North America	3249365306957.84	10
6841	52.2	-164.1	-157.29	61.2	995	0			North America	1390761349353.38	10
6842	34.21	-157.29	-152.34	57.82	995	0			North America	2135793565354.44	10
6846	34.21	-152.34	-149.89	60.38	995	0			North America	1206416904607.09	10
6851	34.21	-149.89	-134.42	58.32	995	0			North America	6849138494049.42	10
6853	58.4	-149.89	-135.32	60.71	995	0			North America	822942081639.67	10
6860	61.2	-180	-154.49	64.5	995	0			North America	2292170907388.34	10
6861	64.5	-180	-154.49	90	995	0			North America	29979727821629.5	10
6863	62.95	-154.49	-150.04	90	995	0			North America	5423460555460.75	10
6877	61.2	-149.04	-134.42	63.57	996	1	United States of America	USA	North America	924912171368.72	10
6884	64.88	-149.73	-134.42	90	996	0			North America	17823643212052.5	10
6885	34.21	-134.42	-124.22	43.1	995	0			High Seas	1443064122183.09	10
6942	58.3	-134.42	-123.5	90	996	0			North America	14599408003849.2	10
7969	56.26	-122.17	-115.17	90	996	1	Canada	CAN	North America	9684050152791.11	10
9494	53.8	-106.35	-90.24	56.73	996	1	Canada	CAN	North America	1023852234941.42	10
9498	56.73	-111.1	-90.24	58.77	996	1	Canada	CAN	North America	988500021528.5	10
9500	58.77	-114.39	-90.24	62.45	995	1	Canada	CAN	North America	2250418387133.89	10
9502	62.6	-115.17	-90.24	90	996	1	Canada	CAN	North America	30625947096783.7	10
11504	52.99	-90.24	-81.8	90	996	1	Canada	CAN	North America	12273157711853.5	10
13230	48.55	-81.8	-75.98	90	996	0			North America	8972017275940.76	10
13786	46.37	-75.98	-73.99	90	996	0			North America	3145850581000.7	10
13946	46.02	-73.99	-73.3	90	996	1	Canada	CAN	North America	1091527925168.61	10
14253	46.88	-73.3	-71.29	90	996	1	Canada	CAN	North America	3159215131686	10
14389	34.21	-69.96	-58.59	43.02	995	0			High Seas	1591873374180.12	10
14390	34.21	-58.59	-28.21	43.02	995	0			High Seas	4255162559105.97	10
14392	34.21	-25.66	-15.41	43.02	996	0			High Seas	1435289045011.65	10
14477	49.2	-71.06	-66.08	90	996	0			North America	7598279964948.12	10
14515	47.76	-66.08	-63.58	90	996	0			North America	3901513021500.31	10
14532	46.49	-63.58	-60.17	90	996	0			North America	5370876190622.94	10
14547	43.02	-52.69	-15.41	54.85	996	0			High Seas	8377396633230.27	10
14548	54.85	-60.17	-45.6	90	995	1	Greenland	GRL	North America	20607930028385.8	10
14549	54.85	-45.6	-23.38	90	995	1	Greenland	GRL	North America	31417122967836.1	10
14551	64.15	-23.38	-22.03	90	995	1	Greenland	GRL	North America	1605490338454.89	10
14556	54.85	-21.91	-15.41	64.09	995	0			High Seas	1474037000909.66	10
14563	65.68	-21.91	-15.41	90	996	0			High Seas	7405781982015.73	10
14564	-90	-15.41	16.32	-61.37	995	1	Antarctica	ATA	Antarctica	40012801405509.5	10
14565	-90	16.32	18.39	-61.37	995	1	Antarctica	ATA	Antarctica	2607789207524.59	10
14566	-90	18.39	26.2	-76.31	995	1	Antarctica	ATA	Antarctica	5661167392466.45	10
14567	-76.31	18.39	26.2	-61.37	995	0			Antarctica	4180282734504.41	10
14568	-61.37	-15.41	1.76	-34.13	995	0			High Seas	8916925176860.64	10
14569	-61.37	1.76	18.43	-34.13	995	0			High Seas	8659647694973.58	10
14570	-61.37	18.43	26.2	-34.18	995	0			High Seas	4027338109845.97	10
14575	-33.92	-15.41	18.39	-26.11	995	0			High Seas	3782859356977.5	10
14594	-90	26.2	50.51	-72.14	995	1	Antarctica	ATA	Antarctica	22282203658137.4	10
14595	-72.14	26.2	50.51	-52.97	995	0			Antarctica	13061434546782.2	10
14596	-52.97	26.2	50.43	-45.98	995	0			High Seas	3236900946205.91	10
14601	-45.98	26.87	50.51	-33.26	996	0			High Seas	4860569466561.19	10
14609	-33.26	30.33	50.51	-30.29	996	0			High Seas	873750463432.86	10
14641	-29.85	31.85	50.51	-26.36	996	0			High Seas	915738114834.19	10
14657	-26.11	-15.41	4.52	-1.68	995	0			High Seas	6272436502831.14	10
14683	-22.54	4.52	15.26	-8.84	995	0			High Seas	1899040608994.52	10
14685	-8.83	4.52	13.23	0	995	0			High Seas	956778955115.28	10
14687	-22.54	15.26	23.49	-10.98	995	1	Angola	AGO	Africa	1233632346506.64	10
14690	-10.98	18.82	28.13	0	996	1	Democratic Republic of the Congo	COD	Africa	1274267947909.84	10
14717	-25.74	35.32	50.51	-15.79	996	0			High Seas	2006899416883.92	10
14723	-11.18	28.13	36.7	-3.38	995	1	United Republic of Tanzania	TZA	Africa	836039882109.09	10
14730	-15.79	39.28	50.51	-6.81	995	0			High Seas	1275357453808.47	10
14752	0	-15.41	-1.84	5.71	995	0			High Seas	961653714925.04	10
14794	9	-15.41	-1.56	24.76	996	1	Mauritania	MRT	Africa	2838749494139.63	10
14800	10.78	-1.56	3.3	24.76	996	1	Mali	MLI	Africa	886907752820.76	10
14897	12.05	7.48	12.48	24.76	996	1	Niger	NER	Africa	832594262200.77	10
14899	0	13.18	31.1	11.81	995	1	Central African Republic	CAF	Africa	2641339980400.82	10
14902	11.81	12.48	25	24.76	995	1	Chad	TCD	Africa	2122242352014.36	10
14903	11.81	25	32.51	24.76	995	1	Sudan	SDN	Africa	1272628695152.05	10
15195	24.76	-2.3	8.13	36.08	995	1	Algeria	DZA	Africa	1701768256644.95	10
17156	43.54	-15.41	-8.18	51.51	996	0			High Seas	1061308377848.22	10
22051	60.12	-15.41	4.37	62.01	995	0			High Seas	961952069401.88	10
22052	62.01	-15.41	4.37	90	996	0			High Seas	24603756962227.4	10
22488	62.51	4.37	6.29	90	996	0			High Seas	2371029902703.51	10
23339	68.77	6.29	17.29	90	996	1	Norway	NOR	High Seas	11453075551591.4	10
23882	69.7	17.29	25.72	90	996	1	Norway	NOR	High Seas	8507841984324.29	10
23952	64.14	34.33	40.53	68.94	995	1	Russia	RUS	Europe	929421757496.86	10
23954	61.78	40.57	50.51	68.94	996	1	Russia	RUS	Europe	2129428018803.14	10
23958	69.11	25.72	33.1	90	996	0			High Seas	7602522360193.67	10
23961	68.94	33.11	50.51	72.24	996	0			High Seas	2145937585937.38	10
23962	72.24	33.1	41.04	75.99	995	0			High Seas	1356289401467.38	10
23963	72.24	41.04	50.51	75.99	995	0			High Seas	1618055548964.81	10
23964	75.99	33.1	41.04	90	995	0			High Seas	5888495275583.56	10
23965	75.99	41.04	50.51	90	996	0			High Seas	7024984819171.22	10
23966	-90	50.51	70.14	-62.19	995	1	Antarctica	ATA	Antarctica	24334634781036.3	10
23967	-90	70.14	107.01	-62.19	995	1	Antarctica	ATA	Antarctica	45688742648149.9	10
